date,categorie,defm
2009-02,C,515900
2009-02,D,220500
2009-02,E,227100
2009-03,A,2447400
2009-03,B,479800
2009-03,C,560500
2009-03,D,234e3
2009-03,E,232100
2009-04,A,2404e3
2009-04,B,511500
2009-04,C,586100
2009-04,D,241400
2009-04,E,238700
2009-05,A,2394400
2009-05,B,504100
2009-05,C,595200
2009-05,D,235200
2009-05,E,243200
2009-06,A,2341e3
2009-06,B,472100
2009-06,C,654e3
2009-06,D,210900
2009-06,E,243e3
2009-07,A,2430900
2009-07,B,447200
2009-07,C,676800
2009-07,D,167100
2009-07,E,244600
2009-08,A,2629200
2009-08,B,466700
2009-08,C,582600
2009-08,D,163900
2009-08,E,244e3
2009-09,A,2602700
2009-09,B,527700
2009-09,C,674300
2009-09,D,198500
2009-09,E,258900
2009-10,A,2686500
2009-10,B,520300
2009-10,C,677200
2009-10,D,223300
2009-10,E,270700
2009-11,A,2727100
2009-11,B,522e3
2009-11,C,659800
2009-11,D,245500
2009-11,E,280300
2009-12,A,2681400
2009-12,B,528e3
2009-12,C,696600
2009-12,D,242700
2009-12,E,287700
2010-01,A,2821600
2010-01,B,527200
2010-01,C,622100
2010-01,D,263700
2010-01,E,285900
2010-02,A,2789900
2010-02,B,527300
2010-02,C,642600
2010-02,D,278700
2010-02,E,300400
2010-03,A,2690500
2010-03,B,512700
2010-03,C,721500
2010-03,D,296100
2010-03,E,315400
2010-04,A,2596800
2010-04,B,532300
2010-04,C,745400
2010-04,D,301500
2010-04,E,330900
2010-05,A,2562900
2010-05,B,517500
2010-05,C,748500
2010-05,D,287800
2010-05,E,344800
2010-06,A,2493900
2010-06,B,502700
2010-06,C,796500
2010-06,D,255800
2010-06,E,351500
2010-07,A,2557400
2010-07,B,480600
2010-07,C,802400
2010-07,D,189100
2010-07,E,356100
2010-08,A,2749100
2010-08,B,500800
2010-08,C,688700
2010-08,D,188200
2010-08,E,353600
2010-09,A,2689300
2010-09,B,556400
2010-09,C,794100
2010-09,D,224100
2010-09,E,362100
2010-10,A,2722500
2010-10,B,549700
2010-10,C,788900
2010-10,D,242800
2010-10,E,361700
2010-11,A,2769700
2010-11,B,538200
2010-11,C,781200
2010-11,D,262100
2010-11,E,357100
2010-12,A,2748200
2010-12,B,549600
2010-12,C,800100
2010-12,D,254100
2010-12,E,344300
2011-01,A,2868200
2011-01,B,549200
2011-01,C,732700
2011-01,D,267400
2011-01,E,346300
2011-02,A,2835700
2011-02,B,548300
2011-02,C,739100
2011-02,D,273500
2011-02,E,350800
2011-03,A,2711400
2011-03,B,539100
2011-03,C,828300
2011-03,D,279800
2011-03,E,352700
2011-04,A,2605600
2011-04,B,563400
2011-04,C,835400
2011-04,D,272100
2011-04,E,355300
2011-05,A,2562e3
2011-05,B,534200
2011-05,C,889900
2011-05,D,262900
2011-05,E,358500
2011-06,A,2536100
2011-06,B,533400
2011-06,C,878200
2011-06,D,233e3
2011-06,E,356200
2011-07,A,2632600
2011-07,B,505600
2011-07,C,868100
2011-07,D,159700
2011-07,E,349600
2011-08,A,2813800
2011-08,B,536600
2011-08,C,757400
2011-08,D,161700
2011-08,E,342900
2011-09,A,2762400
2011-09,B,580200
2011-09,C,872400
2011-09,D,204200
2011-09,E,345200
2011-10,A,2846200
2011-10,B,571500
2011-10,C,843e3
2011-10,D,226900
2011-10,E,348500
2011-11,A,2904400
2011-11,B,560800
2011-11,C,843700
2011-11,D,247300
2011-11,E,355100
2011-12,A,2899200
2011-12,B,576700
2011-12,C,841500
2011-12,D,242e3
2011-12,E,355600
2012-01,A,3043100
2012-01,B,563800
2012-01,C,773200
2012-01,D,261900
2012-01,E,364e3
2012-02,A,3005200
2012-02,B,580600
2012-02,C,778100
2012-02,D,269600
2012-02,E,368e3
2012-03,A,2905600
2012-03,B,568e3
2012-03,C,859200
